ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
732-11-8267|4037788925546656|Michael|Williams|M|51864 Cummings Shoals Apt. 519|Grand Rapids|MI|49504|42.9737|-85.7265|375580|Counsellor|1989-09-08|386189485379|adults_2550_male_urban.json
672-90-6422|4486528168505423|Tiffany|Peterson|F|32214 William Plains Apt. 592|Kinston|NC|28504|35.206|-77.6576|42031|Therapist, speech and language|1991-07-22|169121724065|adults_2550_female_urban.json
186-89-2713|3506537947383471|Stuart|Lee|M|4688 Burch Viaduct Apt. 924|Desoto|TX|75115|32.6041|-96.8653|48877|Associate Professor|1960-07-09|531034820387|adults_50up_male_urban.json
568-14-8453|2261247826137504|Jennifer|Sanders|F|61530 Galvan Villages Suite 220|Richland|MO|65556|37.8528|-92.3962|5869|Historic buildings inspector/conservation officer|1975-08-18|914473253283|adults_2550_female_urban.json
713-18-7686|30010432898610|Paula|Young|F|36971 Mary Parks|Fishers|IN|46038|39.9575|-86.023|73614|Therapist, speech and language|1965-01-28|19482202674|adults_50up_female_urban.json
528-74-3964|3546095396218518|Troy|Stephens|M|7065 Burgess Knolls|Bedford|VA|24523|37.3153|-79.5331|18952|Broadcast journalist|1994-07-02|263473920508|adults_2550_male_urban.json
644-14-9534|3520585277221706|Edward|Williams|M|54868 King Terrace|Superior|NE|68978|40.0315|-98.0779|2377|Engineer, aeronautical|1959-05-11|392070860877|adults_50up_male_rural.json
887-84-5439|4566765277584161694|Zachary|White|M|1154 Griffin Stravenue Suite 275|Baton Rouge|LA|70820|30.3795|-91.1671|378909|Product manager|1967-08-17|799045831074|adults_50up_male_urban.json
630-56-4499|4165820297021358|Jack|Herring|M|275 Wallace Club|Holland|MI|49424|42.8135|-86.1426|89737|Teacher, secondary school|1949-12-30|580411980930|adults_50up_male_urban.json
408-41-4567|4027868144733|Zachary|Mitchell|M|12172 Osborn Valleys Suite 518|Omaha|NE|68116|41.2879|-96.1495|518429|Special effects artist|1997-06-26|980499639968|adults_2550_male_urban.json
872-21-2853|341323705895781|Beverly|Henson|F|6786 Morrow Cliffs|Montclair|NJ|07043|40.843|-74.2011|37737|Comptroller|1970-03-16|352068690122|adults_50up_female_urban.json
076-58-7633|4289226801824223|Frank|Fletcher|M|414 Cynthia Plaza Suite 249|Brooklyn|NY|11223|40.5979|-73.9743|2504700|Social research officer, government|1999-11-08|550157085827|young_adults_male_urban.json
173-76-9514|4995900109439695|Mark|Jimenez|M|473 Evans Cliffs Apt. 276|San Antonio|TX|78220|29.4106|-98.4128|1595797|Radio broadcast assistant|1958-10-22|225333063288|adults_50up_male_urban.json
622-19-5122|3556258815371477|David|Davis|M|9632 Peck Stravenue Suite 327|Columbus|OH|43219|40.0326|-82.9103|783285|Scientist, biomedical|1976-07-29|547465802270|adults_2550_male_urban.json
510-03-1476|6533950047974802|Ryan|Jordan|M|565 Richard Port Apt. 584|Layton|UT|84041|41.0879|-111.9704|67651|Buyer, retail|1993-07-01|555710136742|adults_2550_male_urban.json
783-71-4583|3521655852398689|Amanda|Williams|F|8729 Mark Ridge Suite 269|Florence|SC|29501|34.1838|-79.7728|88459|Hydrographic surveyor|1973-04-28|371917215429|adults_2550_female_urban.json
849-66-8722|30470551694093|Karen|Coffey|F|097 Alexandria Stravenue|Chicago|IL|60638|41.7814|-87.7705|2680484|Water quality scientist|1969-04-05|926744876615|adults_50up_female_urban.json
152-88-3969|676213075622|Jason|Harris|M|028 Ann Shore Suite 865|Temecula|CA|92591|33.5217|-117.1286|114424|Early years teacher|1942-12-07|375951918053|adults_50up_male_urban.json
363-87-4332|3533484344375759|Kristina|Michael|F|1986 Cardenas Trail Apt. 404|Austin|TX|78744|30.1876|-97.7472|940359|Careers information officer|1958-08-02|719159529356|adults_50up_female_urban.json
766-62-3506|4842199330839|Margaret|Williams|F|7120 Richard Wells Suite 734|Orlando|FL|32805|28.5302|-81.4045|878243|IT sales professional|1993-09-21|709895453406|adults_2550_female_urban.json
788-12-9407|4262067240046|Laura|Rodriguez|F|7887 Melissa Mountain Suite 315|Auburn|MA|01501|42.2055|-71.8391|16075|Designer, textile|1996-01-05|505651306822|adults_2550_female_urban.json
264-92-3051|060454932967|Ronald|Robertson|M|1227 Boyle Avenue|Watertown|NY|13601|43.9743|-75.9122|47918|Games developer|1958-01-21|259345477235|adults_50up_male_urban.json
772-35-5401|4453017426841459337|Tyler|Mendoza|M|956 Todd Unions Apt. 391|Anaheim|CA|92802|33.8085|-117.9228|354475|Secondary school teacher|1962-03-14|581739352909|adults_50up_male_urban.json
080-73-1839|676183982252|Sarah|Ramos|F|971 Stokes Motorway|Warrensburg|MO|64093|38.7667|-93.7273|27608|Consulting civil engineer|1993-04-23|457470916067|adults_2550_female_urban.json
578-08-9156|30406403910659|Melody|Weaver|F|70462 Katie Stream|Clinton|TN|37716|36.0869|-84.1897|25749|Petroleum engineer|1930-07-17|420440076410|adults_50up_female_urban.json
891-49-6155|2702512868230047|Joel|Ball|M|633 Reed Harbor Apt. 106|Lake Oswego|OR|97035|45.4147|-122.7227|42817|Volunteer coordinator|1996-04-06|978753281962|adults_2550_male_urban.json
247-27-1103|2720079030673833|Paul|Parsons|M|439 Ray Trail|Seattle|WA|98155|47.7559|-122.3003|837792|IT sales professional|1973-07-13|331729976873|adults_2550_male_urban.json
677-67-3622|6540892687056857|Melissa|Russell|F|2873 Kevin Station Apt. 708|Honolulu|HI|96825|21.2987|-157.6985|403114|Passenger transport manager|1941-11-15|459423143415|adults_50up_female_urban.json
543-18-6364|4351751830467|Megan|Morrison|F|98373 Turner Bridge|Scarsdale|NY|10583|40.9927|-73.7995|38982|Engineer, mining|1959-12-17|210183500752|adults_50up_female_urban.json
765-97-7847|4638546785448|Heather|Andrade|F|75355 Williams Way Apt. 204|Marble Falls|TX|78654|30.5723|-98.2073|23062|Surgeon|1953-12-28|643964883225|adults_50up_female_urban.json
738-54-4837|4536937854777255|Caroline|Cortez|F|80801 Kathy Loop Apt. 312|Edgewood|MD|21040|39.4277|-76.3056|24420|Acupuncturist|1983-09-15|554990175020|adults_2550_female_urban.json
383-08-7917|4008860084840868|Renee|Browning|F|82339 Ochoa Grove|Gaylord|MI|49735|45.0125|-84.6723|19515|Occupational psychologist|1965-07-08|408361278207|adults_50up_female_urban.json
471-73-3985|3541016668700210|Jonathan|Hamilton|M|180 Jason Ways Suite 401|Viroqua|WI|54665|43.5442|-90.8939|8427|Health visitor|1995-10-24|600862968276|adults_2550_male_urban.json
674-05-2939|343926142939687|Gary|Campos|M|185 Connor Fort|Chesterfield|MO|63005|38.6318|-90.6142|59223|Call centre manager|1955-03-05|662887798281|adults_50up_male_urban.json
610-51-5348|676347735869|Jeffrey|Frazier|M|94311 Moore Station Apt. 655|Vinton|LA|70668|30.2015|-93.5728|6424|Clinical biochemist|1987-11-19|4688044575|adults_2550_male_urban.json
456-47-4420|5512678886101586|Anna|George|F|0466 Jenny Points Apt. 982|Shandon|CA|93461|35.6513|-120.372|1623|Museum/gallery conservator|1991-06-28|151051859836|adults_2550_female_rural.json
309-35-8080|4264647154379938|Judith|Taylor|F|5965 Cook Via|Woodside|NY|11377|40.745|-73.9069|89830|Therapist, music|1977-02-24|327002164659|adults_2550_female_urban.json
618-89-3291|30526547935641|Robert|Long|M|398 Erin Plaza|Kaplan|LA|70548|29.9771|-92.3025|10353|Aid worker|2001-11-29|802957040689|young_adults_male_urban.json
726-27-7184|4672434266179796888|Thomas|Kane|M|058 Daniel Gateway Suite 290|Bronx|NY|10452|40.8376|-73.9216|1382480|Surveyor, quantity|1969-09-15|712894168926|adults_50up_male_urban.json
410-97-5433|6011014388899374|Jacqueline|Ford|F|0714 Knapp Corner|Cincinnati|OH|45236|39.21|-84.395|795220|Commercial art gallery manager|2007-01-02|157754796139|young_adults_female_urban.json
320-44-7461|4571775140102|Samuel|Wong|M|382 Mark Meadow|Dodge City|KS|67801|37.7569|-100.0241|30559|Psychologist, counselling|1992-11-07|877169140360|adults_2550_male_urban.json
645-24-3054|4609379660334199|Brian|Wiggins|M|5371 Lambert Overpass|Woodstock|CT|06281|41.9602|-72.004|6930|Secretary, company|1977-10-12|704228248578|adults_2550_male_urban.json
612-50-6432|3555792499125131|Elizabeth|White|F|669 Bailey Manors|Rensselaer|NY|12144|42.6359|-73.7219|20555|Electronics engineer|1985-08-30|697874934613|adults_2550_female_urban.json
711-83-2839|213174225790506|John|Lee|M|876 Perry Ville Suite 721|Seattle|WA|98122|47.6116|-122.3056|837792|Systems analyst|1976-04-14|872010906800|adults_2550_male_urban.json
300-05-4504|4279788191480|Samantha|Richardson|F|783 Garcia Village|Heber Springs|AR|72543|35.5103|-92.0392|12535|Firefighter|1963-07-03|959056357132|adults_50up_female_urban.json
461-34-5712|2413395962923307|Kelly|Patel|M|4494 Derek Terrace|Angleton|TX|77515|29.181|-95.4467|30309|Paramedic|1974-02-04|68370591034|adults_2550_male_urban.json
888-84-2079|3532536729466718|Madeline|Beard|F|8457 Murphy Alley|Buffalo|NY|14228|43.0408|-78.7812|564824|Chief Financial Officer|1994-06-08|697753726506|adults_2550_female_urban.json
715-46-1038|180036374545891|Carlos|Phelps|M|001 Smith Walks Apt. 770|San Francisco|CA|94134|37.719|-122.4096|805301|Phytotherapist|1983-08-06|999389892260|adults_2550_male_urban.json
667-39-2605|4541520643611037125|Linda|Stone|F|05162 Jones Lights Apt. 115|Indio|CA|92201|33.7287|-116.0357|87432|Mental health nurse|1928-06-27|330201333423|adults_50up_female_urban.json
392-97-2182|4189092753269739|Angelica|Garcia|F|656 Moody Gateway|Honolulu|HI|96826|21.2941|-157.8284|403114|Health and safety inspector|1958-08-31|92962937500|adults_50up_female_urban.json
567-77-9831|3504389836403768|Brian|Porter|M|055 Paul Villages|Missoula|MT|59801|46.8563|-114.0252|90987|Teacher, adult education|1979-06-11|401239553647|adults_2550_male_urban.json
700-23-7718|5191043006848665|Michael|Miller|M|1418 Terri Drives|Roswell|GA|30075|34.0408|-84.3859|95251|Software engineer|1996-08-03|430900111440|adults_2550_male_urban.json
650-98-1084|4303161799042102026|Kathleen|Reed|F|52410 Roman Groves Apt. 491|Polk City|IA|50226|41.7549|-93.6893|4724|Research scientist (maths)|1973-12-14|560300808050|adults_2550_female_urban.json
057-64-9288|4241913800030756|James|Hernandez|M|635 Robert Stravenue|Miami|FL|33145|25.7539|-80.2253|1737737|IT consultant|1995-04-02|907403143513|adults_2550_male_urban.json
586-48-1957|213123806174457|Angelica|Bryant|F|49493 Richardson Park Apt. 832|Pensacola|FL|32505|30.4481|-87.2589|254917|Accounting technician|1982-08-25|450681215698|adults_2550_female_urban.json
239-70-5676|4506413836702411|Andrew|Hall|M|571 William Route Suite 199|Richmond|VA|23221|37.5583|-77.4845|536907|Biomedical engineer|1995-10-24|727717710246|adults_2550_male_urban.json
243-38-4277|375574313291214|Christopher|Owens|M|85374 Baker Crest Apt. 249|Saint Martinville|LA|70582|30.2237|-91.7794|19781|Architect|1979-06-12|915751541289|adults_2550_male_urban.json
152-12-4067|378044206788319|Joel|Lara|M|00323 Watson Roads|Fort Thomas|KY|41075|39.0786|-84.4523|16459|Chartered accountant|1980-02-25|646746156066|adults_2550_male_urban.json
833-10-0358|2237215107029667|Kathleen|Reyes|F|53244 Stephenson Bypass Apt. 476|Smithville|OH|44677|40.8592|-81.8633|2543|Statistician|1975-10-21|66481931623|adults_2550_female_urban.json
287-50-2249|6011838065787597|Jonathan|Price|M|59304 Lindsey Mountains|Las Vegas|NV|89123|36.0383|-115.1462|1417793|Senior tax professional/tax inspector|1971-12-26|843348752593|adults_50up_male_urban.json
239-21-1641|4480396522393|Evan|Rojas|M|059 Anna Field Suite 842|Joshua Tree|CA|92252|34.1502|-116.3038|9647|Recycling officer|2000-11-14|98947300855|young_adults_male_urban.json
239-78-3585|676170593252|Mitchell|Sellers|M|02921 Yu Landing Suite 915|Jacksonville|FL|32210|30.2687|-81.7473|847415|Immigration officer|1977-11-29|147414458291|adults_2550_male_urban.json
750-56-7983|4289539264422099|James|Gamble|M|95939 Sharon Divide|Saint Paul|MN|55104|44.9532|-93.158|753116|Learning disability nurse|1985-05-11|84805603866|adults_2550_male_urban.json
356-41-2751|4570433154100676|Nicholas|Costa|M|6586 Maria Turnpike Apt. 271|Kingston|TN|37763|35.8528|-84.4971|15794|Analytical chemist|1984-02-05|22741459331|adults_2550_male_urban.json
268-14-1216|346218159970624|Lawrence|Hamilton|M|53368 Guerrero Hills|Buffalo|NY|14222|42.9164|-78.8763|564824|Field seismologist|1990-11-04|51951563323|adults_2550_male_urban.json
586-71-8044|4506149731032419|John|Wilson|M|7418 Lopez Light Suite 270|Newark|DE|19713|39.6699|-75.7151|138967|General practice doctor|1974-05-14|512989778945|adults_2550_male_urban.json
232-35-9245|503811586935|Kristen|Randall|F|793 Evans Locks Apt. 898|Cumberland|RI|02864|41.9484|-71.4154|33396|Teacher, music|1943-12-17|161577842715|adults_50up_female_urban.json
776-58-2833|4320616329451163|Kristie|Arnold|F|709 Rodriguez Drive Apt. 999|North Hollywood|CA|91606|34.1872|-118.3865|155954|Chiropodist|1989-02-03|119936653222|adults_2550_female_urban.json
799-13-4688|180064679970242|Jennifer|Montgomery|F|65307 Prince Brooks Suite 444|Winona|MN|55987|44.03|-91.7009|35629|Regulatory affairs officer|1966-02-22|768190268997|adults_50up_female_urban.json
890-30-2202|4546913736785082143|Michael|Powell|M|33030 Williams Lake|Las Vegas|NV|89106|36.1847|-115.1617|1417793|Engineer, civil (contracting)|1991-05-05|404903650217|adults_2550_male_urban.json
518-51-2030|4357972798552411|Dustin|Hughes|M|333 Joseph Lodge|Portland|OR|97213|45.5373|-122.5987|841711|Scientific laboratory technician|1990-10-18|949273896633|adults_2550_male_urban.json
486-17-2838|3534944665743744|Michael|Holloway|M|108 Hoffman Ranch Suite 417|Brooksville|FL|34604|28.4409|-82.4612|64191|Bonds trader|1948-04-20|701267155766|adults_50up_male_urban.json
883-36-4279|4328309652074461|Jared|Doyle|M|3875 Bruce Ville|Junction City|OR|97448|44.1988|-123.23|12244|Surveyor, insurance|2002-01-23|322900519786|young_adults_male_urban.json
483-17-4238|3551353465549475|Samuel|Ruiz|M|3816 Gutierrez Ways|East Stroudsburg|PA|18301|41.0367|-75.1735|45923|Dentist|1963-04-27|374522422066|adults_50up_male_urban.json
584-59-2347|341752500743293|Pamela|Burns|F|96666 Reyes Camp|El Cajon|CA|92020|32.7928|-116.9665|165433|Social research officer, government|1989-12-03|804015362037|adults_2550_female_urban.json
015-42-8701|4033542168940|Christopher|Colon|M|7898 Hamilton Spur Apt. 575|Bridgewater|MA|02324|41.9773|-70.9723|26563|Emergency planning/management officer|2002-09-10|445869180665|young_adults_male_urban.json
234-29-2150|4982150648900|Linda|Williams|F|001 Wallace Crossing|Jamaica|NY|11432|40.7119|-73.7944|224445|Sports development officer|1972-08-25|520776545528|adults_50up_female_urban.json
211-89-0153|4184992618914117392|Curtis|Baker|M|6420 Lozano Spurs|Oxford|ME|04270|44.1118|-70.5098|5880|Quarry manager|1956-03-17|259117969489|adults_50up_male_urban.json
014-86-1459|2717218114374471|Amber|Li|F|5561 Melissa Cape|Sparta|WI|54656|43.954|-90.8146|17377|Acupuncturist|1980-02-04|153983162030|adults_2550_female_urban.json
663-22-5385|379415521667462|Melissa|Mendoza|F|212 Tina Vista Apt. 169|Aurora|CO|80010|39.7368|-104.8646|389246|Radiation protection practitioner|1980-07-27|626215958920|adults_2550_female_urban.json
186-79-6222|342771670145088|Patricia|Ray|F|588 Ryan Stream|Good Hope|GA|30641|33.7613|-83.595|1810|Fish farm manager|1988-11-28|380026994241|adults_2550_female_rural.json
693-83-6306|4028772175354087|Daniel|Schneider|M|17797 Melissa Mission Suite 170|Lexington|KY|40508|38.0513|-84.499|296965|Civil engineer, contracting|1996-08-01|452704326218|adults_2550_male_urban.json
571-71-0003|2720948837550370|Evelyn|Saunders|F|571 Katherine Forges Apt. 554|Roseville|CA|95747|38.7703|-121.3372|122853|Sports development officer|1964-03-21|410263801993|adults_50up_female_urban.json
047-22-8068|4149331637351605|Timothy|Monroe|M|7982 Smith Street|Dingmans Ferry|PA|18328|41.24|-74.938|7759|Art therapist|1991-08-14|920981907761|adults_2550_male_urban.json
495-66-2904|3521699586693460|Tracey|Waller|F|26984 Joseph Plaza Apt. 339|Cambridge|MA|02141|42.3687|-71.0836|105321|Horticultural therapist|1941-11-28|380906095118|adults_50up_female_urban.json
136-91-2914|180015879968469|Robert|Mills|M|2003 Christensen Estates|Newton|IA|50208|41.6992|-93.0455|20417|Historic buildings inspector/conservation officer|1981-11-16|277813046063|adults_2550_male_urban.json
860-08-4836|4571983863842|Michael|Williams|M|6580 Julia Flats Suite 359|Spokane|WA|99205|47.6964|-117.4399|342856|Sports coach|1975-12-24|664596582306|adults_2550_male_urban.json
795-93-3171|4212281606484229407|Gary|Mckinney|M|25909 Henry Ports|Addison|IL|60101|41.9335|-88.0054|39119|Statistician|1978-09-07|78847377226|adults_2550_male_urban.json
539-29-3013|213182688615334|Matthew|Rivera|M|98780 Elizabeth Mission Apt. 993|Valley Center|CA|92082|33.249|-117.0122|19037|Archaeologist|1958-10-25|973594144668|adults_50up_male_urban.json
391-15-6323|4085887704358112888|Adrienne|Jones|F|613 Lucas Cliffs|Fayetteville|GA|30215|33.3943|-84.4738|62578|Designer, exhibition/display|1929-12-02|502613191745|adults_50up_female_urban.json
039-12-1201|503848193465|Jasmine|Mccoy|F|0618 Darlene River Apt. 901|Bloomfield Hills|MI|48302|42.5848|-83.2821|45496|Materials engineer|1942-04-15|553741748619|adults_50up_female_urban.json
297-88-4938|3547660728326849|Toni|Thomas|F|88210 Ashley Lock Apt. 435|Mount Carmel|PA|17851|40.7955|-76.4195|7841|Engineer, mining|1970-08-12|993909782929|adults_50up_female_urban.json
872-66-2334|4394312908781417|David|Gonzalez|M|5231 Harvey Fields Suite 775|Fullerton|CA|92831|33.8873|-117.8946|134733|Warehouse manager|1984-12-23|337839646089|adults_2550_male_urban.json
157-73-9288|376205336452579|Julie|Howard|F|8129 Meagan Walks Apt. 834|Shreveport|LA|71115|32.3401|-93.6092|228095|Camera operator|1966-11-16|84728646799|adults_50up_female_urban.json
870-65-0512|3593084887256395|Morgan|Carter|F|816 Shaw Shore Apt. 928|Dothan|AL|36301|31.1481|-85.3718|80446|Counselling psychologist|1965-08-19|173715194068|adults_50up_female_urban.json
